column,dtype,count,missing,unique,mean,std,min,max,skew
date,datetime64[us],5261,0,5261,,,,,
open,float64,5261,0,5254,3329.42662402585,1085.0045049098546,816.546,5922.071,-0.3703919506475752
high,float64,5261,0,5257,3359.194996958753,1092.7056768361879,823.86,5930.912,-0.373207650950544
low,float64,5261,0,5259,3299.7842932902495,1075.023667894485,807.784,5815.609,-0.37710191767012186
close,float64,5261,0,5257,3332.106713552557,1084.6298376175102,818.033,5877.202,-0.37348569503611684
volume,float64,5261,0,5261,11172919356.085535,8368353488.782637,501452509.0,68643910400.0,1.9467266771838792
daily_return,float64,5260,1,5260,0.0004195453875738549,0.015784605682460987,-0.09239805648829469,0.09341979651791399,-0.33163410840705376
log_return,float64,5260,1,5260,0.00029445830964752067,0.01583221641755051,-0.09694938470401304,0.0893102127821308,-0.4819271165868104
return_outlier,bool,5261,0,2,0.013495533168599127,0.11539469146562449,0.0,1.0,8.43521445417426
