date,open,high,low,close,volume,daily_return,log_return,return_outlier
2005-01-04,994.769,994.769,980.658,982.794,741286894.0,,,False
2005-01-05,981.577,997.323,979.877,992.564,711910898.0,0.009941045631129297,0.009891958487285635,False
2005-01-06,993.331,993.788,980.33,983.174,628802905.0,-0.009460347141343028,-0.00950538047102878,False
2005-01-07,983.045,995.711,979.812,983.958,729869409.0,0.0007974173442339971,0.000797099575941651,False
2005-01-10,983.76,993.959,979.789,993.879,579169799.0,0.010082747434341677,0.010032255650053834,False
2005-01-11,994.189,999.554,991.092,997.135,584907998.0,0.003276052718691025,0.00327069814936376,False
2005-01-12,996.651,996.976,989.257,996.748,501452509.0,-0.0003881119407100897,-0.00038818727564216005,False
2005-01-13,996.078,999.473,992.695,996.877,604406584.0,0.00012942087669087776,0.0001294125025319559,False
2005-01-14,996.617,1006.463,987.233,988.306,729784238.0,-0.008597851088950725,-0.00863502584601683,False
2005-01-17,979.111,981.525,965.078,967.452,728818876.0,-0.021100752196182238,-0.02132655512467263,False
2005-01-18,967.374,974.872,960.293,974.689,731184782.0,0.007480474483488653,0.007452634485630938,False
2005-01-19,974.333,974.333,965.258,967.21,633809119.0,-0.007673216790176074,-0.007702807385354227,False
2005-01-20,963.213,963.213,952.23,956.245,772710670.0,-0.011336731423372437,-0.011401482001470953,False
2005-01-21,954.462,984.274,943.439,982.604,1445005985.0,0.02756511145156315,0.027192034189841507,False
2005-01-24,1001.854,1001.854,986.239,998.133,1435946161.0,0.01580392508070383,0.015680343406587305,False
2005-01-25,995.637,997.951,985.237,997.775,986252911.0,-0.0003586696362108954,-0.0003587339735497963,False
2005-01-26,995.78,999.474,988.475,989.928,766329017.0,-0.007864498509182916,-0.007895586780633401,False
2005-01-27,987.342,987.702,973.771,974.631,694536497.0,-0.015452638979804645,-0.015573275386408625,False
2005-01-28,974.631,975.624,965.209,969.209,574880738.0,-0.00556313107216988,-0.0055786629164078505,False
2005-01-31,965.785,965.785,953.142,954.879,678870643.0,-0.014785252716390307,-0.014895644025607169,False
2005-02-01,953.33,965.477,952.741,955.951,743306676.0,0.0011226553311989296,0.0011220256249533378,False
2005-02-02,956.701,1006.932,956.701,1006.913,1705733857.0,0.053310263810592895,0.051937837245231044,True
2005-02-03,1005.563,1014.187,992.155,993.215,1697453933.0,-0.013603955853186855,-0.013697337534596343,False
2005-02-04,992.25,1021.025,989.939,1016.858,1573621461.0,0.02380451362494518,0.023525603729561695,False
2005-02-16,1023.324,1033.248,1018.487,1023.584,1213129305.0,0.006614492879045031,0.00659271310968812,False
2005-02-17,1024.43,1024.43,1010.476,1020.606,896829766.0,-0.0029093850626816797,-0.002913625550207577,False
2005-02-18,1020.122,1021.199,1005.631,1006.055,813993936.0,-0.014257215810998591,-0.01435982637394062,False
2005-02-21,1006.693,1025.656,1006.693,1025.633,988609416.0,0.019460168678650858,0.01927324080239412,False
2005-02-22,1026.837,1048.678,1024.527,1046.744,1793784231.0,0.020583386064995768,0.020374410919307806,False
2005-02-23,1046.812,1049.609,1036.625,1043.944,1869692971.0,-0.002674961595194203,-0.002678545697946788,False
2005-02-24,1042.253,1045.958,1034.731,1045.46,1468178853.0,0.0014521851746838177,0.001451131773491987,False
2005-02-25,1046.274,1059.483,1045.982,1046.761,1817000338.0,0.0012444282899393144,0.0012436546308309815,False
2005-02-28,1046.206,1048.278,1035.039,1039.989,1297104604.0,-0.006469480616874246,-0.006490498405089973,False
2005-03-01,1039.351,1042.737,1031.168,1035.934,996209016.0,-0.0038990797018045864,-0.003906700930032869,False
2005-03-02,1036.368,1045.76,1021.004,1021.32,1422513553.0,-0.014107076319533784,-0.014207526949502558,False
2005-03-03,1019.876,1028.402,1014.752,1027.71,920308564.0,0.006256609094113408,0.006237117772905698,False
2005-03-04,1027.927,1031.847,1022.176,1023.667,817364167.0,-0.003933989160366247,-0.003941747650284988,False
2005-03-07,1024.48,1031.344,1024.48,1029.871,793294979.0,0.006060564617204722,0.006042273262219844,False
2005-03-08,1033.786,1049.287,1032.85,1048.987,1429579380.0,0.018561547999701,0.018391384902790797,False
2005-03-09,1051.26,1054.64,1041.982,1046.544,1532748839.0,-0.002328913513704123,-0.0023316296506994405,False
2005-03-10,1046.692,1046.692,1019.634,1022.413,1329595333.0,-0.023057797856564144,-0.023327787191400162,False
2005-03-11,1021.084,1028.119,1016.931,1027.429,1147638146.0,0.004906040905191977,0.004894045503798239,False
2005-03-14,1027.175,1041.573,1014.925,1031.026,1446608937.0,0.0035009718433098858,0.0034948577075093468,False
2005-03-15,1030.857,1030.943,1011.641,1013.523,1200749274.0,-0.01697629351733132,-0.017122042663236137,False
2005-03-16,1011.85,1012.198,995.967,1003.065,1062278283.0,-0.010318463419182411,-0.010372067825079156,False
2005-03-17,1001.968,1004.821,992.124,992.863,996901108.0,-0.01017082641703182,-0.010222902678695078,False
2005-03-18,991.887,996.396,975.705,978.665,965205964.0,-0.014300059524828823,-0.01440329069912849,False
2005-03-21,977.296,983.178,973.001,981.893,725256485.0,0.0032983707397322704,0.00329294304671901,False
2005-03-22,981.707,982.138,959.563,964.024,1137571722.0,-0.01819852061273486,-0.018366150548090765,False
2005-03-23,962.816,975.362,955.993,959.01,1093005354.0,-0.005201115324929728,-0.005214688208451612,False
2005-03-24,957.43,965.06,948.53,964.801,926071493.0,0.006038518889271316,0.0060203600988817385,False
2005-03-25,964.245,966.97,959.057,962.955,710732285.0,-0.0019133479339262793,-0.0019151807222987927,False
2005-03-28,961.652,961.652,948.806,960.696,666924600.0,-0.0023459040142063126,-0.0023486599579918277,False
2005-03-29,960.419,968.119,954.744,955.19,757737892.0,-0.005731261502077589,-0.005747748204526282,False
2005-03-30,952.713,952.713,936.375,937.034,895016409.0,-0.01900773668066047,-0.01919070597250183,False
2005-03-31,934.848,942.365,928.335,942.203,785944597.0,0.00551634198972506,0.005501182698920637,False
2005-04-01,941.431,989.902,937.55,978.145,1634750474.0,0.03814676879610879,0.037437170505588924,False
2005-04-04,968.49,974.064,956.128,962.168,1143509329.0,-0.016333979113526076,-0.016468849210599323,False
2005-04-05,960.54,967.746,953.586,955.598,953453690.0,-0.0068283293562039216,-0.0068517490696669014,False
2005-04-06,955.598,977.855,948.948,973.668,1428242115.0,0.018909625177114364,0.01873306058918267,False
2005-04-07,975.97,1000.266,974.309,984.733,2075421198.0,0.011364243253347173,0.011300155324478922,False
2005-04-08,984.665,1003.699,979.529,1003.445,1476252600.0,0.019002105139159564,0.01882382012575512,False
2005-04-11,1003.879,1008.735,992.773,995.421,1593606600.0,-0.007996452222094885,-0.008028595314642395,False
2005-04-12,993.711,993.711,978.204,978.697,1022619300.0,-0.016800931465179136,-0.01694366811194392,False
2005-04-13,987.95,1006.499,987.95,1000.9,1607168700.0,0.022686285949583995,0.02243277908858854,False
2005-04-14,1004.64,1006.416,985.578,986.975,1294571000.0,-0.013912478769107728,-0.014010164392931124,False
2005-04-15,982.613,982.613,971.93,974.082,1040895500.0,-0.01306314749613724,-0.013149220821489394,False
2005-04-18,970.907,970.907,958.649,963.772,859840000.0,-0.010584324522986743,-0.010640736896799119,False
2005-04-19,962.916,968.867,957.91,965.886,921262300.0,0.002193464844382209,0.002191062712390668,False
2005-04-20,964.151,964.151,946.197,950.867,885070500.0,-0.015549454076360991,-0.01567161484760682,False
2005-04-21,948.861,955.553,938.595,943.981,994614500.0,-0.007241811946360532,-0.007268161154233788,False
2005-04-22,942.908,947.909,934.957,939.101,1069188400.0,-0.005169595574487151,-0.0051830041649783,False
2005-04-25,935.993,935.993,920.162,930.07,1147047800.0,-0.009616644003147656,-0.009663182527374303,False
2005-04-26,928.428,939.696,924.655,937.083,1169047100.0,0.007540292666143422,0.007512006759751166,False
2005-04-27,938.57,938.91,925.896,926.604,1078061100.0,-0.011182574008919088,-0.011245569061143712,False
2005-04-28,923.529,945.504,914.829,942.073,1434348600.0,0.016694294434299817,0.016556476435391154,False
2005-04-29,940.806,942.453,929.81,932.395,1123541900.0,-0.010273089240430355,-0.010326221624088028,False
2005-05-09,934.65,937.39,909.174,909.174,852911500.0,-0.0249046809560326,-0.025220049640774178,False
2005-05-10,905.543,913.388,892.313,913.076,1049433100.0,0.004291807728773689,0.004282624188599371,False
2005-05-11,911.838,917.223,900.438,901.851,904204700.0,-0.012293609732377142,-0.012369801242247291,False
2005-05-12,899.968,900.063,883.511,885.82,1022872000.0,-0.017775663607402903,-0.017935548253081635,False
2005-05-13,883.505,898.505,875.576,887.543,1124490600.0,0.0019450904246911538,0.0019432011857416498,False
2005-05-16,885.389,885.389,869.334,875.271,822428800.0,-0.013826935709030486,-0.013923418188339198,False
2005-05-17,873.077,888.281,868.212,881.462,877227300.0,0.0070732378886082525,0.007048339878913623,False
2005-05-18,881.141,890.403,871.821,883.196,787861000.0,0.001967186333613924,0.0019652539563939087,False
2005-05-19,882.842,888.016,871.289,884.171,814958300.0,0.0011039452171432984,0.0011033363177093136,False
2005-05-20,883.513,891.02,879.18,882.763,722667600.0,-0.001592452138783118,-0.0015937214384020848,False
2005-05-23,880.281,880.281,862.098,863.341,727979500.0,-0.022001375227552633,-0.022247015111449997,False
2005-05-24,861.195,871.767,855.587,868.456,920692900.0,0.005924657811918976,0.005907176041844764,False
2005-05-25,867.658,876.305,861.659,868.451,723855600.0,-5.7573440680469545e-06,-5.7573606415672884e-06,False
2005-05-26,867.758,872.835,854.956,857.331,662278600.0,-0.012804406926815726,-0.012887089907849258,False
2005-05-27,855.595,864.963,848.398,849.508,774998300.0,-0.009124830433053233,-0.009166716696337396,False
2005-05-30,847.634,858.462,842.102,855.612,697158300.0,0.007185335511849189,0.007159643983398745,False
2005-05-31,856.561,863.198,853.291,855.946,704782100.0,0.0003903638565143641,0.00039028768436644157,False
2005-06-01,855.206,857.657,836.04,837.532,790230200.0,-0.021513039373979193,-0.02174781811520443,False
2005-06-02,835.467,835.493,812.989,818.379,950865700.0,-0.02286837995443758,-0.02313391744035087,False
2005-06-03,816.546,823.86,807.965,818.033,793605600.0,-0.0004227869972225351,-0.00042287639684435163,False
2005-06-06,816.731,839.15,807.784,838.997,900918500.0,0.025627327992880478,0.025304452688167167,False
2005-06-07,841.579,858.092,835.179,837.282,1306706800.0,-0.002044107428274433,-0.002046199467251597,False
2005-06-08,848.536,908.829,844.473,905.773,3290783900.0,0.08180159133959641,0.07862779146501175,True
2005-06-09,907.569,925.365,895.036,912.604,3314184000.0,0.007541624667549263,0.007513328791768359,False
2005-06-10,911.941,911.941,889.103,894.556,2239150200.0,-0.019776376171921184,-0.019974545768672414,False
2005-06-13,894.997,900.18,877.69,892.959,1562800200.0,-0.0017852431820927217,-0.0017868386278241388,False
2005-06-14,895.391,905.415,882.862,883.537,1434357000.0,-0.01055143629214772,-0.010607497394875764,False
2005-06-15,881.208,881.248,865.136,866.834,1145405600.0,-0.018904697822502148,-0.019085676146040065,False
2005-06-16,866.659,879.493,861.827,879.237,1104968500.0,0.014308391226001804,0.014206992288793074,False
2005-06-17,883.605,888.078,876.038,880.345,1496300900.0,0.001260183545505944,0.001259390180675446,False
2005-06-20,881.623,906.482,872.563,906.255,1899208200.0,0.029431643276215613,0.029006847297985416,False
2005-06-21,906.306,906.306,894.386,896.166,1277478400.0,-0.011132628233775144,-0.011195059722940215,False
2005-06-22,894.769,901.243,891.926,900.646,1047813400.0,0.004999073832303358,0.004986619950717142,False
2005-06-23,900.059,904.896,892.831,893.572,950930800.0,-0.007854362313272856,-0.00788537028891767,False
2005-06-24,892.061,898.67,888.397,898.301,891873900.0,0.005292242818709658,0.005278288114486607,False
2005-06-27,904.209,920.647,904.209,916.043,1654540200.0,0.019750618111301188,0.01955810535538216,False
2005-06-28,913.48,913.48,901.207,903.716,1040221900.0,-0.013456791875490537,-0.013548155061998912,False
2005-06-29,906.751,907.571,898.084,898.898,1080674600.0,-0.005331320901699188,-0.005345583106489471,False
2005-06-30,897.102,897.102,876.884,878.686,1085547200.0,-0.022485309790432284,-0.02274195888815722,False
2005-07-01,875.935,875.935,858.37,859.494,1009459700.0,-0.02184170454519585,-0.022083765751380824,False
2005-07-04,855.317,856.1,842.812,855.932,884027700.0,-0.004144298854907635,-0.004152910261804088,False
2005-07-05,853.679,856.738,845.361,849.679,799268800.0,-0.00730548688447219,-0.0073323026350111675,False
2005-07-06,850.253,854.448,838.609,842.556,689831400.0,-0.008383165877937304,-0.008418502238638936,False
2005-07-07,841.748,848.022,839.282,844.729,596246500.0,0.0025790570597088447,0.002575736999241407,False
2005-07-08,842.62,842.62,827.229,829.489,722100000.0,-0.018041288981436643,-0.018206017317564438,False
2005-07-11,837.863,850.658,822.524,824.097,843900600.0,-0.006500387588021073,-0.0065216071141671605,False
2005-07-12,821.911,854.286,818.863,851.816,1498987100.0,0.03363560357579276,0.03308229963695375,False
2005-07-13,850.469,851.949,841.858,846.231,939884200.0,-0.006556580294335923,-0.006578169084411556,False
2005-07-14,844.94,856.095,843.176,849.59,936196800.0,0.003969365338778674,0.0039615081932398155,False
2005-07-15,849.873,854.604,837.783,841.001,888956300.0,-0.01010958226909453,-0.010161031140699883,False
2005-07-18,839.221,840.005,829.679,832.995,850000600.0,-0.00951960818120312,-0.009565209285015364,False
2005-07-19,831.501,840.143,829.277,835.608,789181800.0,0.003136873570669607,0.003131963847544661,False
2005-07-20,835.301,844.712,832.144,842.641,852647300.0,0.008416625977731185,0.008381403678585642,False
2005-07-21,842.746,843.987,835.757,843.987,836610100.0,0.0015973587803108646,0.0015960843597317975,False
2005-07-22,847.541,867.165,842.987,859.693,2163097600.0,0.018609291375341064,0.018438257138272185,False
2005-07-25,858.328,860.951,854.284,856.86,1181608000.0,-0.003295362414257097,-0.0033008040791049353,False
2005-07-26,856.189,880.034,856.189,876.48,2182677600.0,0.022897556193543833,0.022639341381816003,False
2005-07-27,876.942,894.026,876.036,894.012,2040953700.0,0.020002738225629813,0.019805311827507666,False
2005-07-28,893.879,900.997,888.5,890.885,2062252700.0,-0.0034977159143276815,-0.0035038472238637652,False
2005-07-29,889.41,892.294,883.383,888.164,1339740600.0,-0.0030542662633223916,-0.0030589400536191746,False
2005-08-01,887.718,897.285,885.85,891.607,1180830900.0,0.00387653631536522,0.00386904191044124,False
2005-08-02,892.13,903.648,888.396,903.598,1429254700.0,0.013448750402363263,0.013359118687472638,False
2005-08-03,905.181,919.282,903.76,909.57,2578629800.0,0.006609133707688786,0.006587389139428801,False
2005-08-04,907.42,909.827,901.625,904.15,1451925600.0,-0.005958859680948225,-0.0059766845310917915,False
2005-08-05,904.039,923.808,903.94,923.803,1912376500.0,0.021736437538019127,0.021503569616402096,False
2005-08-08,926.571,933.154,923.573,927.471,2160894400.0,0.003970543503322599,0.003962681699020365,False
2005-08-09,926.973,933.394,919.107,933.089,1953290700.0,0.006057332250819725,0.0060390603626272465,False
2005-08-10,933.26,940.37,926.275,940.37,2151576300.0,0.007803114172388659,0.0077728273294299655,False
2005-08-11,940.785,953.992,939.386,953.992,2707366600.0,0.014485787509171955,0.014381870830422194,False
2005-08-12,954.719,959.268,933.985,938.316,2916814400.0,-0.01643200362267183,-0.0165685064027441,False
2005-08-15,937.705,954.502,936.113,954.502,2043081300.0,0.01725005222121334,0.017102959235333337,False
2005-08-16,955.27,959.343,939.916,945.058,2386181800.0,-0.009894164705783748,-0.009943437229770424,False
2005-08-17,943.405,953.342,930.325,953.012,2145776900.0,0.008416414653915405,0.008381194118536328,False
2005-08-18,954.155,956.841,919.121,920.671,3185532700.0,-0.03393556429509792,-0.03452474336594413,False
2005-08-19,918.091,927.32,910.083,923.038,2224267900.0,0.0025709509694560317,0.002567651728593745,False
2005-08-22,923.108,933.351,919.222,931.673,1603101000.0,0.009354977801564024,0.009311490998398675,False
2005-08-23,931.809,931.809,915.033,923.414,1540648800.0,-0.00886469823639846,-0.008904223433146896,False
2005-08-24,923.558,935.23,923.558,930.651,1595974700.0,0.00783722144130361,0.00780666994342738,False
2005-08-25,930.975,933.196,920.61,930.118,1629205700.0,-0.0005727173774056071,-0.0005728814426477769,False
2005-08-26,930.246,930.325,921.843,928.258,1542980400.0,-0.0019997462687529888,-0.002001748430978445,False
2005-08-29,928.341,928.341,913.767,917.371,1546226100.0,-0.011728420331416523,-0.011797740799293521,False
2005-08-30,916.086,920.208,912.838,914.88,1243817000.0,-0.0027153681553045983,-0.002719061454707905,False
2005-08-31,915.122,928.212,911.505,927.916,1462363000.0,0.014248863238894849,0.014148302313941485,False
2005-09-01,928.52,944.947,926.06,944.559,2230638400.0,0.017935890748731476,0.017776940456410095,False
2005-09-02,945.978,947.918,941.314,947.871,1861443800.0,0.0035063982239331715,0.003500265142184489,False
2005-09-05,949.077,952.985,944.629,952.717,1784331800.0,0.005112510035648388,0.005099485529300729,False
2005-09-06,953.41,956.297,934.972,936.61,2122225500.0,-0.016906384582200173,-0.017050928966833467,False
2005-09-07,934.991,952.896,932.648,952.758,1960846600.0,0.01724090069505979,0.017093962856027822,False
2005-09-08,954.273,958.867,947.707,955.282,2242439300.0,0.00264915120103959,0.002645648384959287,False
2005-09-09,955.112,959.898,946.021,949.065,1621931000.0,-0.006508025902299042,-0.006529295434873461,False
2005-09-12,949.779,952.551,945.403,949.506,1167261300.0,0.0004646678573121399,0.0004645599326345007,False
2005-09-13,949.584,963.921,948.128,963.774,1657943100.0,0.015026761284288925,0.01491497794350849,False
2005-09-14,964.97,970.263,961.64,970.193,1995829100.0,0.006660275126741277,0.0066381934866655,False
2005-09-15,970.58,970.964,965.656,969.598,1637767900.0,-0.0006132800380955761,-0.0006134681712204326,False
2005-09-16,969.619,970.37,964.285,967.495,1397857100.0,-0.002168940117450724,-0.002171295674725293,False
2005-09-19,967.44,971.987,964.263,971.136,1473742100.0,0.003763326942258116,0.003756263343627886,False
2005-09-20,971.379,971.65,957.118,961.919,1863660400.0,-0.009490946685119295,-0.009536272739032015,False
2005-09-21,961.374,961.374,943.824,944.408,1854189500.0,-0.018204235491761755,-0.018371971374173235,False
2005-09-22,942.726,942.726,914.232,923.274,1811552500.0,-0.022378039999661148,-0.022632227641630642,False
2005-09-23,921.51,927.419,914.806,916.154,1154764400.0,-0.0077116868881826894,-0.007741575706811332,False
2005-09-26,915.84,919.65,913.613,918.485,883624100.0,0.0025443320664428892,0.0025411007335067737,False
2005-09-27,918.866,921.132,903.387,904.214,1108605600.0,-0.015537542801461024,-0.015659515506619925,False
2005-09-28,903.328,910.333,901.382,903.719,885031000.0,-0.000547436779346433,-0.0005475866775688232,False
2005-09-29,904.28,915.975,904.28,915.975,1193897800.0,0.01356173766403046,0.0134706003620364,False
2005-09-30,916.587,918.662,913.452,917.392,900143300.0,0.0015469854526597437,0.001545790103297584,False
2005-10-10,917.211,917.211,906.88,907.321,715845100.0,-0.01097785897413539,-0.011038560324005964,False
2005-10-11,906.628,919.796,904.045,919.72,775829500.0,0.013665505372409514,0.01357297438924654,False
2005-10-12,920.453,926.094,917.377,923.485,1220885200.0,0.004093637193928634,0.0040852810580878085,False
2005-10-13,923.426,926.009,916.275,916.499,1082890400.0,-0.007564822384770742,-0.007593580780197229,False
2005-10-14,916.337,917.89,902.813,904.828,1012394000.0,-0.012734329224581842,-0.012816105783170606,False
2005-10-17,903.266,903.266,892.359,897.623,1055250600.0,-0.007962839346262407,-0.007994712062456166,False
2005-10-18,897.366,903.001,895.622,902.366,1136631700.0,0.005283955513617489,0.005270044402958973,False
2005-10-19,902.036,907.876,897.045,898.744,1103304800.0,-0.004013892367398575,-0.0040219696548540185,False
2005-10-20,898.891,900.126,889.569,899.915,1260872500.0,0.0013029294215036735,0.001302081345539996,False
2005-10-21,899.645,907.792,897.986,904.414,1136458800.0,0.004999361050765927,0.0049869057404547945,False
2005-10-24,905.129,908.453,900.229,906.652,921898200.0,0.002474530469453118,0.002471473860341078,False
2005-10-25,905.967,905.967,893.609,894.272,1121340100.0,-0.013654632648469334,-0.013748714562521691,False
2005-10-26,892.617,892.617,873.895,875.82,1216712300.0,-0.020633543262005283,-0.020849389087441494,False
2005-10-27,873.472,879.668,869.72,875.849,1190858800.0,3.311182663101597e-05,3.311127844707329e-05,False
2005-10-28,875.862,880.206,859.692,867.729,1197337600.0,-0.009271004476799072,-0.009314247718512192,False
2005-10-31,866.618,878.409,866.153,876.282,1044365100.0,0.009856764035776067,0.009808503009714364,False
2005-11-01,875.956,875.956,862.686,872.865,1008274500.0,-0.0038994296356652525,-0.003907052233715902,False
